horizon_label,horizon_minutes,n_samples,W_x_error,p_x_error,normal_x_error,W_y_error,p_y_error,normal_y_error,W_z_error,p_z_error,normal_z_error,W_satclockerror,p_satclockerror,normal_satclockerror
15min,15,50,0.9291932436948563,0.005151438405716593,No,0.9614502733161504,0.10224843412299067,Yes,0.9668985340162054,0.17261255150691468,Yes,0.9028690129838347,0.0005984195966944031,No
30min,30,50,0.9620089691577286,0.1079119039678999,Yes,0.9727105761617562,0.29731915782228635,Yes,0.9704655901828244,0.24173714467019491,Yes,0.9057649972404641,0.000748975389599836,No
45min,45,50,0.9581927044056867,0.07467283653206928,Yes,0.9671251199121796,0.1763815776566955,Yes,0.9602313703544583,0.09090036705095653,Yes,0.9135748843290581,0.0013922448534001693,No
1h,60,50,0.9529648000322618,0.04521587320826598,No,0.9786749303001383,0.4975321775643187,Yes,0.9518897677686986,0.040813824343538654,No,0.9208708947142653,0.0025355187097844283,No
2h,120,50,0.9354678660336122,0.008951805983722997,No,0.9873010399545668,0.8641795608490657,Yes,0.9188490913684336,0.00214310386426596,No,0.9079097188474916,0.0008860613795506351,No
3h,180,50,0.9558339902410853,0.059510595275370934,Yes,0.9832086164457849,0.6927112434648552,Yes,0.9403924093429098,0.01396327953243012,No,0.9272667099951036,0.0043612293847639805,No
6h,360,50,0.9383756515073132,0.011625714066812518,No,0.9560957364492237,0.06102587682120841,Yes,0.9460166737683897,0.023463617518417905,No,0.9380615920757629,0.011300315930051704,No
12h,720,50,0.8581480786424556,2.5904879455248373e-05,No,0.9263479236016899,0.004030357753207136,No,0.9747452821822106,0.3568553701360345,Yes,0.8733621805596963,7.079991321557102e-05,No
24h,1440,50,0.933353909774293,0.007418225640323744,No,0.962812615992197,0.11660853522614933,Yes,0.9754166296533118,0.3785017714874511,Yes,0.8716136464289655,6.288400558652571e-05,No
