horizon_label,horizon_minutes,n_samples,W_x_error,p_x_error,normal_x_error,W_y_error,p_y_error,normal_y_error,W_z_error,p_z_error,normal_z_error,W_satclockerror,p_satclockerror,normal_satclockerror
15min,15,50,0.9728496255295691,0.30110247676325635,Yes,0.7841657355959155,3.85769321219596e-07,No,0.832345963946107,5.320706165600894e-06,No,0.8982305778374168,0.00042022436957380095,No
30min,30,50,0.9741939409753525,0.3398274712827424,Yes,0.7929192496042281,6.045600506991627e-07,No,0.8210787816837757,2.7805398307556357e-06,No,0.8955164715856313,0.0003428319917129977,No
45min,45,50,0.9665478630500856,0.16693069489140716,Yes,0.8207393339267921,2.7276942770664553e-06,No,0.803580096322581,1.0611328657225966e-06,No,0.9079577282804385,0.0008894179446319825,No
1h,60,50,0.9686383208297885,0.20362323736700844,Yes,0.8233456351752617,3.1623619464707917e-06,No,0.829707222252471,4.560711933515014e-06,No,0.9518104295544398,0.040506956236528883,No
2h,120,50,0.9708947166485201,0.2515845447819452,Yes,0.8200806095042804,2.6281465581859097e-06,No,0.8251888367840617,3.513580304542083e-06,No,0.9366297988947716,0.009933332362063431,No
3h,180,50,0.9860767478095829,0.8167380973861844,Yes,0.9782821885460609,0.48201176070106416,Yes,0.9544530145528132,0.05212852804822716,Yes,0.9744077468143524,0.34635083103669395,Yes
6h,360,50,0.9865030503632988,0.8338075765578079,Yes,0.8709231594130122,6.0020961715977645e-05,No,0.9595137927271749,0.0848188617153297,Yes,0.8891798596930316,0.00021511081336139505,No
12h,720,50,0.9792974541962708,0.5227261409393541,Yes,0.93130060040524,0.0061911177575131055,No,0.9684723985259668,0.20045359598788998,Yes,0.9742398678037385,0.34122021170693734,Yes
24h,1440,50,0.8422473964747786,9.604625848924737e-06,No,0.9732947178224338,0.31349029520017363,Yes,0.97851115179285,0.4910236858770354,Yes,0.9657989899686439,0.15539142015591645,Yes
