horizon_label,horizon_minutes,rmse_x_error,mae_x_error,bias_x_error,std_x_error,rmse_y_error,mae_y_error,bias_y_error,std_y_error,rmse_z_error,mae_z_error,bias_z_error,std_z_error,rmse_satclockerror,mae_satclockerror,bias_satclockerror,std_satclockerror
15min,15,0.7045513749909761,0.5701042920461131,-0.14572291683661848,0.6893166699785398,0.6111218260167613,0.4533298413800077,-0.019503320253945227,0.6108105325983932,0.5408677279554523,0.44145500523006637,-0.03696168098469845,0.539603311037357,0.9813324600332801,0.6564766781652985,-0.14650582547814867,0.9703347052517165
30min,30,0.7164357933590981,0.5797015151869369,-0.14454427086136537,0.7017030709404346,0.7032403345889552,0.524534658477539,0.006695315546678586,0.7032084619389304,0.5480963671303253,0.443618605147791,-0.05268063528799985,0.5455587762350753,1.0572354756271327,0.7112815851040035,-0.14548242629205874,1.047177976546826
45min,45,0.8253535815340414,0.6714991039446185,-0.18621707614741173,0.8040719713447164,0.6561662747110663,0.48804420089640793,0.01201865988334971,0.6560561956744306,0.5714043362599106,0.4590218186864149,-0.04115498875605761,0.5699203298682349,1.0423047556785066,0.7010221556099957,-0.12167091497333092,1.0351789179458706
1h,60,0.7972835327412917,0.6517746999239717,-0.13822962979837336,0.7852092721219223,0.760141611919519,0.5749015680786507,0.016844398493722032,0.7599549568303304,0.5974220653811481,0.48000602246852425,-0.023053729783686666,0.5969770931512678,1.0249445102874144,0.6862711207506493,-0.1435731118732027,1.0148389087512126
2h,120,0.7344089947241972,0.5883159445554439,-0.15264627340119497,0.7183701599791945,0.7117662024015133,0.5384740220769636,-0.012161789043537643,0.7116622919393247,0.7392090200101991,0.5999071904481431,0.03059070950909827,0.7385757806455401,1.0853854101807834,0.725677692974956,-0.15199939598598777,1.0746895701797812
3h,180,0.987980113807581,0.8049395661023725,-0.15269458355569893,0.9761091483189737,0.7495762202695035,0.5695269842280861,-0.015281241986612968,0.749420438496884,0.7738719144177244,0.6239894361751925,0.043071206224251264,0.7726723827851891,1.0528286535441411,0.7012762242465721,-0.1369379951243007,1.0438851274038279
6h,360,0.7563342705673078,0.6202764975616343,-0.11424311477118436,0.7476563646234544,0.7481824752305771,0.5691704738267045,-0.05572536963683684,0.7461043488822399,0.7925809299311064,0.6341336837213004,0.09337367036188632,0.7870615529763904,1.0056407841939397,0.6624494132626406,-0.10477170376937806,1.0001681243288367
12h,720,0.8252457765613784,0.6768578209980559,-0.1331419290077787,0.8144346618805465,0.8562674501502157,0.6514820401764495,-0.11804164823794017,0.8480920442192713,0.7885612181810213,0.6251869380826818,0.0597462698143014,0.7862945873287014,1.0300839284426555,0.6658430594036165,-0.07982775895153707,1.0269860897483611
24h,1440,0.8833771793597495,0.729409779584867,-0.1847661265238123,0.8638383642227135,0.8009126093704034,0.5944895765767234,-0.10839005209470641,0.7935443304916338,0.8189572104912825,0.6482827766417656,-0.04026381258274421,0.817966831853202,1.0200489536391297,0.695506389681091,-0.029251789013513628,1.0196294428172386
