horizon_label,horizon_minutes,rmse_x_error,mae_x_error,bias_x_error,std_x_error,rmse_y_error,mae_y_error,bias_y_error,std_y_error,rmse_z_error,mae_z_error,bias_z_error,std_z_error,rmse_satclockerror,mae_satclockerror,bias_satclockerror,std_satclockerror
15min,15,0.09379700168765115,0.09379700168765115,-0.09379700168765115,0.0,0.17062905361712788,0.17062905361712788,-0.17062905361712788,0.0,0.3774361369331743,0.3774361369331743,0.3774361369331743,0.0,0.22601487907177512,0.22601487907177512,0.22601487907177512,0.0
30min,30,0.34215345679052467,0.34215345679052467,-0.34215345679052467,0.0,0.6687167307109491,0.6687167307109491,-0.6687167307109491,0.0,0.05444960485786282,0.05444960485786282,-0.05444960485786282,0.0,0.1012102997499668,0.1012102997499668,0.1012102997499668,0.0
45min,45,0.08695397072095834,0.08695397072095834,0.08695397072095834,0.0,0.04848815428131914,0.04848815428131914,-0.04848815428131914,0.0,0.6154685033375236,0.6154685033375236,0.6154685033375236,0.0,0.4852511957249838,0.4852511957249838,0.4852511957249838,0.0
1h,60,0.1739588161636474,0.1739588161636474,0.1739588161636474,0.0,0.257823852048926,0.257823852048926,-0.257823852048926,0.0,0.5492087872491707,0.5492087872491707,0.5492087872491707,0.0,0.116720207808448,0.116720207808448,0.116720207808448,0.0
2h,120,0.8373884837363285,0.8373884837363285,-0.8373884837363285,0.0,0.6411151422000568,0.6411151422000568,-0.6411151422000568,0.0,0.04890069174415701,0.04890069174415701,0.04890069174415701,0.0,0.13454140331733472,0.13454140331733472,-0.13454140331733472,0.0
3h,180,0.7785275070980632,0.7785275070980632,-0.7785275070980632,0.0,1.306218259826044,1.306218259826044,-1.306218259826044,0.0,0.09390622666777002,0.09390622666777002,0.09390622666777002,0.0,0.08519033328432409,0.08519033328432409,-0.08519033328432409,0.0
6h,360,1.3573975436489745,1.3573975436489745,-1.3573975436489745,0.0,1.3345168920328305,1.3345168920328305,-1.3345168920328305,0.0,0.0615342880743277,0.0615342880743277,0.0615342880743277,0.0,0.0967508332191621,0.0967508332191621,0.0967508332191621,0.0
12h,720,1.279329830025275,1.279329830025275,-1.279329830025275,0.0,0.5337626392293091,0.5337626392293091,-0.5337626392293091,0.0,0.1193409093728632,0.1193409093728632,0.1193409093728632,0.0,0.2480221659612023,0.2480221659612023,-0.2480221659612023,0.0
24h,1440,0.898753359547041,0.898753359547041,-0.898753359547041,0.0,0.32507066918570837,0.32507066918570837,0.32507066918570837,0.0,0.068013812214676,0.068013812214676,0.068013812214676,0.0,0.44177458998997227,0.44177458998997227,0.44177458998997227,0.0
